Question,Answer
What is the reversal agent for xylazine?,Yohimbine
Dose of Atipamezole for dogs?,50 µg/kg IM
Which species is 10 times more sensitive to xylazine?,Ruminants
What inhalant anaesthetic has the lowest MAC?,Halothane (MAC 0.87%)
Dose of Diazepam in dogs?,0.1–0.5 mg/kg IV
What is the main side effect of ketamine?,Increased HR and poor muscle relaxation
What is the preferred local anaesthetic for epidural in cattle?,Lignocaine 2%
Which opioid is a partial agonist-antagonist?,Butorphanol
Antidote for benzodiazepine overdose?,Flumazenil
Which anaesthetic causes malignant hyperthermia in pigs?,Halothane
Which drug combination is used for neuroleptanalgesia?,Fentanyl + Fluanisone
What is the most sensitive reflex to check anaesthetic depth?,Corneal reflex
Dose of Adrenaline in cardiac arrest?,0.01 mg/kg IV
Where is the epidural administered in dogs?,Lumbosacral or sacrococcygeal space
Reversal agent for opioids?,Naloxone
